Ditrune,Conrune,Differential,Zodiacal,Day
0,0,0,xxxx,20-Mar
1,2,1,0 A,21-Mar
5,7,2,1 A,22-Mar
3,6,3,2 A,23-Mar
4,8,4,3 A,24-Mar
17,22,5,4 A,25-Mar
15,21,6,5 A,26-Mar
16,23,7,6 A,27-Mar
11,19,8,7 A,28-Mar
9,18,9,8 A,29-Mar
10,20,10, 9 A,30-Mar
14,25,11,10 A,31-Mar
12,24,12,11 A,1-Apr
13,26,13,12 A,2-Apr
53,67,14,13 A,3-Apr
51,66,15,14 A,4-Apr
52,68,16,15 A,5-Apr
47,64,17,16 A,6-Apr
45,63,18,17 A,7-Apr
46,65,19,18 A,8-Apr
50,70,20,19 A,9-Apr
48,69,21,20 A,10-Apr
49,71,22,21 A,11-Apr
35,58,23,22 A,12-Apr
33,57,24,23 A,13-Apr
34,59,25,24 A,14-Apr
29,55,26,25 A,15-Apr
27,54,27,26 A,16-Apr
28,56,28,27 A,17-Apr
32,61,29,28 A,18-Apr
30,60,30,29 A,19-Apr
31,62,31,0 B,20-Apr
44,76,32,1 B,21-Apr
42,75,33,2 B,22-Apr
43,77,34,3 B,23-Apr
38,73,35,4 B,24-Apr
72,36,36,5 B,25-Apr
37,74,37,6 B,26-Apr
41,79,38,7 B,27-Apr
39,78,39,8 B,28-Apr
40,80,40, 9 B,29-Apr
161,202,41,10 B,30-Apr
159,201,42,11 B,1-May
160,203,43,12 B,2-May
155,199,44,13 B,3-May
198,153,45,14 B,4-May
154,200,46,15 B,5-May
158,205,47,16 B,6-May
156,204,48,17 B,7-May
157,206,49,18 B,8-May
143,193,50,19 B,9-May
141,192,51,20 B,10-May
142,194,52,21 B,11-May
137,190,53,22 B,12-May
189,135,54,23 B,13-May
136,191,55,24 B,14-May
140,196,56,25 B,15-May
138,195,57,26 B,16-May
139,197,58,27 B,17-May
152,211,59,28 B,18-May
210,150,60,29 B,19-May
151,212,61,0 C,20-May
146,208,62,1 C,21-May
144,207,63,2 C,22-May
145,209,64,3 C,23-May
149,214,65,4 C,24-May
147,213,66,5 C,25-May
148,215,67,6 C,26-May
107,175,68,7 C,27-May
105,174,69,8 C,28-May
106,176,70,9 C,29-May
101,172,71,10 C,30-May
99,171,72,11 C,31-May
100,173,73,12 C,1-Jun
104,178,74,13 C,2-Jun
102,177,75,14 C,3-Jun
103,179,76,15 C,4-Jun
89,166,77,16 C,5-Jun
87,165,78,17 C,6-Jun
88,167,79,18 C,7-Jun
83,163,80,19 C,8-Jun
81,162,81,20 C,9-Jun
82,164,82,21 C,10-Jun
86,169,83,22 C,11-Jun
168,84,84,23 C,12-Jun
85,170,85,24 C,13-Jun
98,184,86,25 C,14-Jun
183,96,87,26 C,15-Jun
97,185,88,27 C,16-Jun
92,181,89,28 C,17-Jun
90,180,90,29 C,18-Jun
91,182,91,XXXX,19-Jun
95,187,92,0 D,20-Jun
93,186,93,1 D,21-Jun
94,188,94,2 D,22-Jun
134,229,95,3 D,23-Jun
132,228,96,4 D,24-Jun
133,230,97,5 D,25-Jun
128,226,98,6 D,26-Jun
225,126,99,7 D,27-Jun
127,227,100,8 D,28-Jun
131,232,101,9 D,29-Jun
129,231,102,10 D,30-Jun
130,233,103,11 D,1-Jul
116,220,104,12 D,2-Jul
219,114,105,13 D,3-Jul
115,221,106,14 D,4-Jul
110,217,107,15 D,5-Jul
108,216,108,16 D,6-Jul
109,218,109,17 D,7-Jul
113,223,110,18 D,8-Jul
111,222,111,19 D,9-Jul
112,224,112,20 D,10-Jul
125,238,113,21 D,11-Jul
237,123,114,22 D,12-Jul
124,239,115,23 D,13-Jul
119,235,116,24 D,14-Jul
117,234,117,25 D,15-Jul
118,236,118,26 D,16-Jul
122,241,119,27 D,17-Jul
240,120,120,28 D,18-Jul
121,242,121,29 D,19-Jul
485,607,122,0 E,20-Jul
606,483,123,1 E,21-Jul
484,608,124,2 E,22-Jul
479,604,125,3 E,23-Jul
603,477,126,4 E,24-Jul
478,605,127,5 E,25-Jul
482,610,128,6 E,26-Jul
480,609,129,7 E,27-Jul
481,611,130,8 E,28-Jul
467,598,131, 9 E,29-Jul
597,465,132,10 E,30-Jul
466,599,133,11 E,31-Jul
461,595,134,12 E,1-Aug
594,459,135,13 E,2-Aug
460,596,136,14 E,3-Aug
464,601,137,15 E,4-Aug
462,600,138,16 E,5-Aug
463,602,139,17 E,6-Aug
476,616,140,18 E,7-Aug
615,474,141,19 E,8-Aug
475,617,142,20 E,9-Aug
470,613,143,21 E,10-Aug
468,612,144,22 E,11-Aug
469,614,145,23 E,12-Aug
619,473,146,24 E,13-Aug
471,618,147,25 E,14-Aug
472,620,148,26 E,15-Aug
431,580,149,27 E,16-Aug
