,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,693,679,692,694,558,544,543,560
11,695,678,690,698,559,557,545,565
10,700,680,691,696,563,555,541,564
9,699,676,686,697,561,556,540,566
8,701,675,684,683,562,551,542,688
7,661,677,685,681,548,549,547,687
6,348,403,273,383,682,546,689,660
5,402,275,288,274,381,398,379,350
4,404,271,289,287,382,396,378,391
3,283,270,293,285,395,397,380,390
2,282,272,291,286,393,401,385,392
1,284,277,292,281,394,399,384,388
0,280,276,278,279,389,400,386,387
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,221200,221011,221122,221201,202200,202011,202010,202202
11,221202,221010,221120,221212,202201,202122,202012,202221
10,221221,221012,221121,221210,202212,202120,202001,202220
9,221220,221001,221102,221211,202210,202121,202000,202222
8,221222,221000,221100,221022,202211,202102,202002,221111
7,220111,221002,221101,221020,202022,202100,202021,221110
6,110220,112221,101010,112012,221021,202020,221112,220110
5,112220,101012,101200,101011,112010,112202,112001,110222
4,112222,101001,101201,101122,112011,112200,112000,112111
3,101111,101000,101212,101120,112122,112201,112002,112110
2,101110,101002,101210,101121,112120,112212,112021,112112
1,101112,101021,101211,101102,112121,112210,112020,112101
0,101101,101020,101022,101100,112102,112211,112022,112100
