,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,725,717,718,723,671,663,665,667
11,721,719,713,724,669,664,652,666
10,720,706,711,710,670,659,651,668
9,722,705,712,708,656,657,653,673
8,727,707,716,709,654,658,649,672
7,726,703,714,704,655,662,648,674
6,364,377,325,351,702,650,715,728
5,337,324,349,329,352,375,353,363
4,336,326,344,327,356,376,358,365
3,338,331,342,328,354,371,357,361
2,334,330,343,341,355,369,359,360
1,333,332,347,339,368,370,373,362
0,335,346,345,340,366,374,372,367
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,222212,222120,222121,222210,220212,220120,220122,220201
11,222201,222122,222102,222211,220210,220121,220011,220200
10,222200,222011,222100,222022,220211,220102,220010,220202
9,222202,222010,222101,222020,220022,220100,220012,220221
8,222221,222012,222112,222021,220020,220101,220001,220220
7,222220,222001,222110,222002,220021,220112,220000,220222
6,111111,111222,110001,111000,222000,220002,222111,222222
5,110111,110000,110221,110012,111001,111220,111002,111110
4,110110,110002,110202,110010,111012,111221,111021,111112
3,110112,110021,110200,110011,111010,111202,111020,111101
2,110101,110020,110201,110122,111011,111200,111022,111100
1,110100,110022,110212,110120,111122,111201,111211,111102
0,110102,110211,110210,110121,111120,111212,111210,111121
