,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,579,601,596,580,606,223,222,608
11,581,600,594,620,607,218,224,604
10,577,602,595,618,242,216,238,603
9,576,616,599,619,240,217,237,605
8,578,615,597,614,241,221,239,610
7,583,617,598,612,236,219,235,609
6,426,481,117,470,613,234,611,582
5,480,119,114,118,468,467,475,428
4,482,124,115,122,469,465,474,424
3,478,123,110,120,473,466,476,423
2,477,125,108,121,471,461,463,425
1,479,112,109,485,472,459,462,430
0,484,111,113,483,431,460,464,429
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,210110,211021,211002,210111,211110,022021,022020,211112
11,210112,211020,211000,211222,211111,022002,022022,211101
10,210101,211022,211001,211220,022222,022000,022211,211100
9,210100,211211,211012,211221,022220,022001,022210,211102
8,210102,211210,211010,211202,022221,022012,022212,211121
7,210121,211212,211011,211200,022202,022010,022201,211120
6,120210,122211,011100,122102,211201,022200,211122,210120
5,122210,011102,011020,011101,122100,122022,122121,120212
4,122212,011121,011021,011112,122101,122020,122120,120201
3,122201,011120,011002,011110,122112,122021,122122,120200
2,122200,011122,011000,011111,122110,122002,122011,120202
1,122202,011011,011001,122222,122111,122000,122010,120221
0,122221,011010,011012,122220,120222,122001,122012,120220
