,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,647,621,622,645,593,567,569,634
11,526,623,626,646,591,568,574,633
10,525,628,624,641,592,572,573,635
9,527,627,625,639,587,570,575,631
8,523,629,638,640,585,571,589,630
7,522,643,636,644,586,584,588,632
6,316,455,421,447,642,590,637,524
5,451,420,427,416,448,453,449,315
4,450,422,413,414,443,454,436,317
3,452,409,411,415,441,440,435,322
2,457,408,412,419,442,438,437,321
1,456,410,407,417,446,439,433,323
0,458,406,405,418,444,434,432,445
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,212222,212000,212001,212220,210222,210000,210002,212111
11,201111,212002,212012,212221,210220,210001,210021,212110
10,201110,212021,212010,212202,210221,210012,210020,212112
9,201112,212020,212011,212200,210202,210010,210022,212101
8,201101,212022,212122,212201,210200,210011,210211,212100
7,201100,212211,212120,212212,210201,210122,210210,212102
6,102201,121212,120121,121120,212210,210212,212121,201102
5,121201,120120,120211,120102,121121,121210,121122,102200
4,121200,120122,120022,120100,121102,121211,121011,102202
3,121202,120011,120020,120101,121100,121022,121010,102221
2,121221,120010,120021,120112,121101,121020,121012,102220
1,121220,120012,120002,120110,121112,121021,121001,102222
0,121222,120001,120000,120111,121110,121002,121000,121111
