,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,200,75,76,198,65,21,23,70
11,205,77,62,199,63,22,19,69
10,204,73,60,203,64,8,18,71
9,206,72,61,201,68,6,20,58
8,193,74,56,202,66,7,25,57
7,192,79,54,80,67,2,24,59
6,142,29,13,39,78,26,55,194
5,34,12,1,53,40,27,41,141
4,33,14,5,51,161,28,37,143
3,35,10,3,52,159,32,36,157
2,49,9,4,47,160,30,38,156
1,48,11,17,45,155,31,43,158
0,50,16,15,46,153,44,42,154
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,021102,002210,002211,021100,002102,000210,000212,002121
11,021121,002212,002022,021101,002100,000211,000201,002120
10,021120,002201,002020,021112,002101,000022,000200,002122
9,021122,002200,002021,021110,002112,000020,000202,002011
8,021011,002202,002002,021111,002110,000021,000221,002010
7,021010,002221,002000,002222,002111,000002,000220,002012
6,012021,001002,000111,001110,002220,000222,002001,021012
5,001021,000110,000001,001222,001111,001000,001112,012020
4,001020,000112,000012,001220,012222,001001,001101,012022
3,001022,000101,000010,001221,012220,001012,001100,012211
2,001211,000100,000011,001202,012221,001010,001102,012210
1,001210,000102,000122,001200,012202,001011,001121,012212
0,001212,000121,000120,001201,012200,001122,001120,012201
