,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,511,491,489,506,538,518,514,537
11,510,487,490,504,533,516,513,539
10,512,486,503,505,531,517,515,499
9,553,488,501,509,532,530,520,498
8,552,493,502,507,536,528,519,500
7,554,492,497,508,534,529,521,496
6,290,261,314,247,494,535,495,550
5,263,301,320,312,260,262,246,295
4,268,300,318,313,258,266,248,294
3,267,302,319,308,259,264,244,296
2,269,298,305,306,254,265,243,256
1,310,297,303,307,252,251,245,255
0,309,299,304,311,253,249,250,257
,,,,,,,,
,,,,,,,,
,Column Index,,,,,,,
row index,0,1,2,3,4,5,6,7
12,200221,200012,200010,200202,201221,201012,201001,201220
11,200220,200001,200011,200200,201202,201010,201000,201222
10,200222,200000,200122,200201,201200,201011,201002,200111
9,202111,200002,200120,200212,201201,201122,201021,200110
8,202110,200021,200121,200210,201212,201120,201020,200112
7,202112,200020,200102,200211,201210,201121,201022,200101
6,101202,100200,102122,100011,200022,201211,200100,202101
5,100202,102011,102212,102120,100122,100201,100010,101221
4,100221,102010,102210,102121,100120,100212,100012,101220
3,100220,102012,102211,102102,100121,100210,100001,101222
2,100222,102001,102022,102100,100102,100211,100000,100111
1,102111,102000,102020,102101,100100,100022,100002,100110
0,102110,102002,102021,102112,100101,100020,100021,100112
